node,biogrid_degree_centrality,biogrid_closeness_centrality,biogrid_betweenness_centrality,string_degree_centrality,string_closeness_centrality,string_betweenness_centrality,intact_degree_centrality,intact_closeness_centrality,biogrid_clustering_coefficient,intact_clustering_coefficient,string_clustering_coefficient
P80192,0.000198907,0.180488248,2.81e-07,0.042540975,0.003115939,1.43e-05,0.000187346,0.748008326,0.1029411764705882,0.1,0.1774558719343995
Q6P9F7,0.000292511,0.279417291,2.48e-07,0.026150955,0.002993868,3.14e-05,0.000157371,0.653455688,0.1333333333333333,0.019047619047619,0.1745149700598802
O15482,0.000315911,0.290564047,2.29e-07,0.008560393,0.002542434,1.6e-05,0.000209827,0.696617532,0.0113960113960113,0.0132275132275132,0.101975160855903
P20339,0.00471527,0.603728908,7.26e-05,0.112015868,0.003180037,0.000263331,0.001970879,0.897826068,0.0554794266879004,0.0291701738600412,0.14865234175579
Q14155,0.000479717,0.488464658,3.35e-06,0.045098653,0.002980229,3.02e-05,0.000307247,0.814556917,0.0097560975609756,0.1256097560975609,0.2265460709840779
Q92628,0.000655224,0.308560143,4.55e-06,0.007098862,0.002558092,5.93e-06,0.000239803,0.750808476,0.0064935064935064,0.0060483870967741,0.1441176470588235
P33151,0.000936034,0.312817823,4.57e-06,0.073546299,0.003101482,0.000120668,0.000592013,0.7565321,0.0117088607594936,0.0068159688412852,0.2431215320343248
Q9NXR7,0.000339312,0.297812384,1.12e-06,0.023175697,0.002813417,3.55e-05,0.000262284,0.890346274,0.0172413793103448,0.1630252100840336,0.1711304984442682
P46108,0.000538219,0.523114782,6.08e-06,0.05861781,0.003059952,8.93e-05,0.002457978,0.879906293,0.0309178743961352,0.022078018945327,0.2010974550914837
P62873,0.000690325,0.603550426,4.71e-06,0.103298883,0.003157893,0.001125077,0.000794347,0.872096995,0.0940970192869666,0.0557053009883198,0.0935622826329646
O75330,0.000479717,0.288903356,5.44e-06,0.038991544,0.002945135,0.000129721,0.000337223,0.790123021,0.0658536585365853,0.0787878787878787,0.2721341128589424
P51398,0.002024173,0.603497236,4.09e-06,0.040661864,0.002891547,3.46e-05,0.000831816,0.867282433,0.3014518080387149,0.1221949221949222,0.2927753266167487
Q5SRE5,0.000666924,0.584311128,2.67e-06,0.020774611,0.002802287,9.82e-06,0.000472112,0.830453293,0.0482456140350877,0.0593958013312852,0.2390795286254952
Q9NZH0,0.001029637,0.308277194,4.78e-06,0.033510805,0.00298589,6.97e-05,0.000179852,0.709247109,0.0347439916405433,0.0507246376811594,0.1592624452641657
Q9ULW6,0.000210608,0.299665608,1.02e-06,0.053867836,0.003103266,5.11e-05,0.000164864,0.697351318,0.0261437908496732,0.0432900432900432,0.2211219633230325
Q9NZI8,0.000795629,0.590032245,4.38e-06,0.048073912,0.003068431,8.07e-05,0.001041643,0.907865322,0.1036077705827937,0.1429465123553331,0.2032644101402067
Q9P1Z2,0.000339312,0.274528989,1.17e-06,0.011744441,0.00270973,5.65e-06,0.000307247,0.821129877,0.0320197044334975,0.0170731707317073,0.0823809523809523
Q6W2J9,0.000737127,0.284581164,2.6e-06,0.040870655,0.002980616,6.99e-05,0.00093673,0.862313771,0.1346646185355862,0.088516129032258,0.1898789167507749
Q8N5G2,0.001134941,0.590000153,3.85e-06,0.014928489,0.002747461,4.33e-05,0.000382186,0.839300768,0.212414089347079,0.0603921568627451,0.0744203165255796
P05164,0.000444616,0.269423503,3.44e-06,0.071197411,0.003055285,0.000116709,0.000284766,0.786025337,0.1066856330014224,0.0341394025604551,0.2435545189905827
Q8IWX8,0.00084243,0.298803507,5.89e-06,0.032153669,0.002858528,2.98e-05,0.000681939,0.842055905,0.1772300469483568,0.0881562881562881,0.2762643860204836
O60503,0.001404051,0.294126043,5.65e-05,0.041705815,0.003030845,4.42e-05,0.000172358,0.790103809,0.1784313725490196,0.0434782608695652,0.1955106790756616
P23284,0.001532755,0.544934877,3.98e-05,0.073963879,0.00316193,0.0001372,0.000944223,0.842201243,0.1330593071051086,0.0322539682539682,0.1922558600369205
P48645,0.000783928,0.287422938,3.64e-06,0.015293872,0.002817953,2.19e-05,0.000202334,0.653699573,0.0379918588873812,0.0569800569800569,0.224063771097293
P58107,0.000947734,0.583212342,8.03e-06,0.042123395,0.003074271,0.000273666,0.000502087,0.857082711,0.0209876543209876,0.0687471732247851,0.1848804351502516
O94973,0.00056162,0.553610088,3.51e-06,0.061854056,0.003079364,7.02e-05,0.000337223,0.880986874,0.1143617021276595,0.101010101010101,0.1576719124187478
Q9H4L4,0.001591257,0.314330734,2.5e-05,0.055120576,0.003078908,4.46e-05,0.000367198,0.839701762,0.0598039215686274,0.1692176870748299,0.2268706017521183
Q96IZ7,0.000327612,0.294968722,3.41e-07,0.057312872,0.002978829,6.08e-05,0.000239803,0.782619868,0.119047619047619,0.0766129032258064,0.3075601117802651
Q8WUD4,0.000772228,0.314967234,7.68e-06,0.016442217,0.002766129,1.14e-05,0.000224815,0.721973626,0.2135198135198135,0.1632183908045977,0.1869173996562531
P07737,0.003007009,0.603710233,6.39e-05,0.065403487,0.003112301,0.000102669,0.000614495,0.879124287,0.0292740758754863,0.0644384221619994,0.2139848389424486
P98066,0.00026911,0.286257411,6.3e-07,0.04306295,0.003062139,5.39e-05,0.000209827,0.723034193,0.0197628458498023,0.0476190476190476,0.2252397764048249
Q15075,0.000421215,0.539872413,1.26e-06,0.091763232,0.003184793,0.000195436,0.000816828,0.875647495,0.065079365079365,0.0299014610941216,0.153279940533656
Q5T3F8,0.000748827,0.277900293,1.14e-06,0.01722518,0.002832755,1.36e-05,0.000689433,0.769776203,0.0461309523809523,0.0303392259913999,0.087261674495717
Q9GZQ4,0.00026911,0.303093056,2.35e-07,0.016285625,0.002844936,6.28e-05,0.000172358,0.686253845,0.0395256916996047,0.0039525691699604,0.1448800395745733
Q92903,0.000468017,0.306272331,5.58e-06,0.030274559,0.002955073,7.03e-05,0.000134889,0.634280972,0.0474358974358974,0.0261437908496732,0.1371508546245012
Q9HC44,0.000655224,0.309486063,4.03e-06,0.007881825,0.002486175,4.57e-06,0.000404667,0.762078909,0.05,0.0705800139762403,0.1150551876379691
Q8IUZ0,0.000702025,0.583031882,2.84e-06,0.038260779,0.003052176,5.31e-05,0.000367198,0.827197783,0.1152542372881356,0.1096938775510204,0.1665921171322285
P33240,0.000620122,0.554127099,5.44e-06,0.087796221,0.003163467,0.000118016,0.000509581,0.831628533,0.0406386066763425,0.0570676031606672,0.1965826354705065
Q96CA5,0.000198907,0.298316254,8.79e-07,0.033667397,0.003025841,2.59e-05,0.000337223,0.701898619,0.0367647058823529,0.0535353535353535,0.2289806923780634
P54619,0.000538219,0.576600212,2.4e-06,0.082472074,0.003176561,0.000114121,0.000599507,0.884429451,0.0772946859903381,0.060126582278481,0.1439149918631404
Q13561,0.001778464,0.603078936,2.74e-05,0.040609667,0.002989671,4.08e-05,0.000944223,0.886556931,0.0216684723726977,0.0634920634920634,0.1832868490966177
P15121,0.000503118,0.544638256,2.5e-06,0.061540871,0.003087127,5.78e-05,0.000187346,0.787643133,0.2347729789590254,0.0433333333333333,0.1977676687820676
Q9BTE7,0.000339312,0.49186747,1.02e-06,0.02667293,0.002914371,3.92e-05,0.000202334,0.814971574,0.0098522167487684,0.0227920227920227,0.2006446414182111
Q96IY1,0.000421215,0.301609223,1.44e-06,0.008873578,0.002533121,3.78e-06,0.000202334,0.714055206,0.3031746031746031,0.3333333333333333,0.1803689523146536
P11216,0.00054992,0.590727684,3.69e-06,0.047969517,0.003074376,3.71e-05,0.000299753,0.879436112,0.036077705827937,0.0538461538461538,0.165323679949552
P78317,0.00028081,0.301594937,2.48e-06,0.090197307,0.002938766,0.000437115,0.000876779,0.746746572,0.0181159420289855,0.0389036251105216,0.1079833633575671
Q07820,0.000514819,0.297888345,3.71e-06,0.072241361,0.00308363,3.31e-05,0.000464618,0.833527043,0.023170731707317,0.0375462718138551,0.2741077660610468
P54578,0.000234008,0.537890306,5.84e-06,0.070884226,0.003046557,8.59e-05,0.000389679,0.744848098,0.0473684210526315,0.2036199095022624,0.2060130040818187
Q5TEU4,0.000854131,0.299578556,5.87e-06,0.043167345,0.003007124,2.35e-05,0.00035221,0.781602174,0.2321156773211567,0.0989824236817761,0.1984915869079581
Q96CM3,0.002667696,0.303769815,2.39e-05,0.034345965,0.002886712,1.16e-05,0.00019484,0.727449139,0.2485508926501275,0.0523076923076923,0.2946709044056756
Q96K37,0.000409515,0.582332546,9.38e-07,0.017747155,0.002774091,1.52e-05,0.000314741,0.77963599,0.0403361344537815,0.016260162601626,0.2212562901266701
Q9Y276,0.001006236,0.539345247,2.12e-05,0.05840902,0.003101734,0.000145952,0.000209827,0.789319813,0.2528043775649795,0.0582010582010582,0.1807916920455108
P17301,0.00056162,0.275447027,5.03e-06,0.050474997,0.002984308,0.000100077,0.000397173,0.857971028,0.0647163120567375,0.0333817126269956,0.3038296924812819
P24941,0.000889232,0.583471642,1.17e-05,0.152782128,0.003263564,0.000454482,0.001716089,0.913295266,0.0277777777777777,0.0385352026354094,0.1718784335438714
P41229,0.000807329,0.535940721,2.98e-05,0.091972022,0.00318511,0.000188668,0.00035221,0.741188935,0.0272804774083546,0.0536540240518038,0.1621337840111225
P51965,0.000409515,0.541941476,1.36e-06,0.059348575,0.003084064,8.54e-05,0.000584519,0.755069323,0.0319327731092436,0.0323010323010323,0.2044823912693398
O43909,0.00111154,0.308114239,2.89e-06,0.020200438,0.002814664,1.88e-05,0.000217321,0.746892644,0.0508398656215005,0.0541871921182266,0.1086208512404439
Q38SD2,0.000245709,0.540819643,2.32e-06,0.125065247,0.003301696,0.000390486,0.000764371,0.80508528,0.0095238095238095,0.0493108134342846,0.1490825000609924
Q8N9I9,0.000222308,0.273967865,2.07e-06,0.021348784,0.002819852,6.88e-06,0.000307247,0.690351173,0.0467836257309941,0.0317073170731707,0.2639508125988782
Q96RU7,0.000351013,0.434483722,3.81e-07,0.073233114,0.003184303,0.000182874,0.000794347,0.749018232,0.032183908045977,0.0445642407906558,0.1848972499321303
Q92522,0.000468017,0.603534613,3.89e-07,0.020565821,0.00286381,1.37e-05,0.000914248,0.863988905,0.2230769230769231,0.0776317572144695,0.2321979824595394
Q9UKA4,0.000655224,0.383638939,4.98e-06,0.018634513,0.002817651,1.66e-05,0.000344716,0.844509198,0.0623376623376623,0.0801932367149758,0.1071979353539168
Q8TCT9,0.000877532,0.5032755,1.74e-06,0.02562898,0.002858296,9.63e-06,0.000314741,0.843242822,0.2781981981981982,0.0545876887340302,0.127445030965543
Q8N5M1,0.000421215,0.276499475,1.89e-06,0.03298883,0.002858966,2.72e-05,0.00074189,0.829136855,0.0809523809523809,0.0381364667078952,0.2286655700214648
Q96IQ9,0.000655224,0.299717309,2.04e-06,0.00965654,0.002744525,7.95e-06,0.000659458,0.716110555,0.0084415584415584,0.0399686520376175,0.1659811985898942
Q7LGA3,0.000971135,0.307569242,4.69e-06,0.010230713,0.002591655,3.46e-06,0.000172358,0.726144551,0.0590655304143402,0.0118577075098814,0.2151229722658294
Q96T91,0.00026911,0.290243434,3.52e-06,0.011535651,0.002704295,1.31e-05,0.000142383,0.680522384,0.0,0.0175438596491228,0.1020567667626491
Q9NYL2,0.000351013,0.303115606,2.72e-06,0.023645474,0.003035928,1.64e-05,0.000329729,0.836413332,0.0229885057471264,0.0761099365750528,0.2278614546093887
O43432,0.000620122,0.507706997,1.81e-06,0.055955737,0.003065654,7.17e-05,0.00035221,0.862911565,0.0878084179970972,0.0851063829787234,0.2444378248811962
O43765,0.000327612,0.539893492,2.03e-06,0.055590354,0.003086652,9.18e-05,0.001865965,0.888843105,0.0687830687830687,0.0132465345251975,0.1602986339087154
O76094,0.000503118,0.603367323,1.33e-06,0.04160142,0.003005072,6.49e-05,0.000487099,0.873950396,0.2480620155038759,0.0956730769230769,0.21633890910008
P40818,0.000339312,0.59011505,3.45e-06,0.055590354,0.003064817,8.85e-05,0.000397173,0.854880235,0.0566502463054187,0.06966618287373,0.1720516078929718
Q8NFN8,0.00081903,0.309676163,7.88e-06,0.008873578,0.002672382,2.2e-06,0.000517075,0.745159538,0.017391304347826,0.0153452685421994,0.1447963800904977
P31274,0.000198907,0.30603462,4.31e-07,0.025315795,0.002922052,1.7e-05,0.000382186,0.753532996,0.0147058823529411,0.0337254901960784,0.2677600749765698
Q9BYD3,0.002258182,0.58999652,1.79e-05,0.086700073,0.003095145,0.000132229,0.000322235,0.811797249,0.3024611398963731,0.0930232558139534,0.2277732241428084
O95758,0.000795629,0.461705134,9.63e-06,0.037947594,0.002930096,2.79e-05,0.002218176,0.842338732,0.0873573309920983,0.0243243243243243,0.1603821129893406
P04004,0.001240245,0.315077222,2.67e-05,0.05987055,0.003038978,8.66e-05,0.000921742,0.844373333,0.033602875112309,0.0137278421964547,0.2502240460355643
O43914,0.000772228,0.310843248,0.0002061,0.059922748,0.002984573,0.000166005,0.000142383,0.628865968,0.0167832167832167,0.0058479532163742,0.2470009629726388
A8MVW0,0.000795629,0.590382657,8.34e-06,0.014510909,0.00277617,3.33e-05,0.000307247,0.848422675,0.0886742756804214,0.1,0.134872607329299
Q9UHA2,0.000491418,0.291123666,2.57e-06,0.012736194,0.002749349,3.16e-06,0.000344716,0.775212625,0.1428571428571428,0.0164251207729468,0.1997571341833637
Q96JP5,0.000631823,0.312368001,6.65e-07,0.018582315,0.002931686,5.05e-05,0.000164864,0.800885105,0.1998602375960866,0.0562770562770562,0.1395473967399905
P13489,0.00056162,0.288982443,1.07e-05,0.012631799,0.002800486,1.61e-06,0.00044963,0.851464018,0.0026595744680851,0.0717514124293785,0.2762593875381502
Q5VT66,0.000432916,0.306769011,1.01e-06,0.019156488,0.002795068,4.58e-05,0.000142383,0.822810891,0.039039039039039,0.0818713450292397,0.0745670850642486
