Interactor_A,Interactor_B,Detection_Method,Interactor_A_Taxid,Interactor_B_Taxid,Interaction_Type,Reference,Confidence_Value,Original_ID_A,Original_ID_B,database
Q9VYQ0,Q9W5R5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9W5R5,IntAct
Q9VYQ0,Q9V9V8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9V9V8,IntAct
Q9VYQ0,Q9W4I4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9W4I4,IntAct
Q9VYQ0,Q8IPM8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q8IPM8,IntAct
Q9VYQ0,P68198,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:P68198,IntAct
Q9VYQ0,Q9VRS4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9VRS4,IntAct
Q9VEX5,Q9VYQ0,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VEX5,uniprotkb:Q9VYQ0,IntAct
Q9VJE4,Q9VYQ0,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VJE4,uniprotkb:Q9VYQ0,IntAct
Q9VYQ0,Q9V668,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9V668,IntAct
Q9VYQ0,Q7JXB9,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q7JXB9,IntAct
Q9VYQ0,Q9VXX0,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYQ0,uniprotkb:Q9VXX0,IntAct
Q9W220,Q7Z2C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W220,uniprotkb:Q7Z2C5,IntAct
A1ZAJ6,Q7Z2C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:A1ZAJ6,uniprotkb:Q7Z2C5,IntAct
Q9VQW4,Q7Z2C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VQW4,uniprotkb:Q7Z2C5,IntAct
P54353,Q7Z2C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P54353,uniprotkb:Q7Z2C5,IntAct
Q9VZM9,Q7Z2C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZM9,uniprotkb:Q7Z2C5,IntAct
Q8IMX4,Q7Z2C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q8IMX4,uniprotkb:Q7Z2C5,IntAct
Q7Z2C5,Q9VS76,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q7Z2C5,uniprotkb:Q9VS76,IntAct
A1ZBG6,Q9VYE7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:A1ZBG6,uniprotkb:Q9VYE7,IntAct
